scenario,region,basin,resource,subresource,Units,year,value,share
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2033,22.29528,0.8304283295157824
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2034,22.08594,0.8371605692434423
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2035,21.8766,0.8441348973607038
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2036,20.62568,0.7934858212124757
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2037,19.37476,0.7431388733760056
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2038,18.12384,0.6930913585383613
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2039,16.87292,0.6433406133517163
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2040,15.622,0.5938840059608893
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2041,15.6092,0.5870896837677367
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2042,15.5964,0.5804382874011352
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2043,15.5836,0.5739253539063944
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2044,15.5708,0.567546604226383
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2045,15.558,0.5612979338261557
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2046,16.15848,0.5881290132843762
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2047,16.758960000000002,0.6154399824316971
